primary_title,start_year,end_year,genres,average_rating,num_votes,show_id,normalized_title
Flight 29 Down,2005,2007,"Adventure,Comedy,Drama",7.1,1859,bf6e3baa-e40c-4d47-848d-18548b228176,flight29down
Gone,2017,\N,"Crime,Drama",7.0,1859,7bfa9b05-b7a4-48ac-a0d0-b39eb43c65e6,gone
BuzzFeed Unsolved: True Crime,2016,2021,"Comedy,Crime,Documentary",8.8,1859,7e72d54e-db20-4731-92bb-2da4f8888b1a,buzzfeedunsolvedtruecrime
Summer Camp Island,2018,2023,"Adventure,Animation,Comedy",7.8,1859,2ee3e4a1-9774-4351-b0bd-07f17270d942,summercampisland
Gümüs,2005,2007,"Drama,Family,Romance",5.7,1858,a9a5bbd6-6134-4333-9d16-098e85a3c71c,gms
Zemheri,2020,2020,Drama,7.1,1858,34cf456b-fea9-47e4-b84f-2dbd3acddaa9,zemheri
Live Up to Your Name,2017,2017,"Drama,Fantasy,Romance",8.0,1857,39030c53-bda3-40e5-a9a8-53248450b056,liveuptoyourname
Seis Manos,2019,\N,"Action,Adventure,Animation",7.1,1857,422e8f17-8363-46e4-8453-f4a8f2db95e7,seismanos
Maddam Sir - Kuch Baat Hai Kyunki Jaazbaat Hai,2020,2023,Comedy,7.7,1857,881efcdd-f0d5-403b-9168-8998e5781d1c,maddamsirkuchbaathaikyunkijaazbaathai
Dates,2013,2013,"Drama,Romance",7.5,1856,125b5041-7ccd-4559-bbc6-ec22db1586d9,dates
The Wendy Williams Show,2008,2022,Talk-Show,3.3,1856,965ff238-f1d6-4efb-be78-257ad49dd28e,thewendywilliamsshow
Hache,2019,2021,"Crime,Drama,Thriller",6.5,1855,86672fe7-0c58-40bd-b969-b4aba12d2322,hache
50 States of Fright,2020,2020,"Drama,Horror,Short",6.6,1855,c01c26db-8f4d-4844-affe-f3c273e5c937,50statesoffright
Kingdoms of Fire,2019,\N,"Drama,History,War",5.4,1852,74b9ec64-b94c-4484-90e5-a2c7dff5c3d8,kingdomsoffire
Shararat,2003,2006,"Comedy,Fantasy,Romance",7.5,1851,dfc5036c-9510-41c2-8104-3209cbd389cf,shararat
The Magnificent Seven,1998,2000,"Action,Western",7.4,1851,e3140aac-32fd-4bb6-b329-7146443fdc30,themagnificentseven
Rilakkuma and Kaoru,2019,2019,"Animation,Comedy,Drama",8.2,1851,8a64a387-db1d-4c76-b8cd-d3e33927b854,rilakkumaandkaoru
Captain Scarlet and the Mysterons,1967,1968,"Action,Family,Sci-Fi",7.8,1849,cec5f61b-a889-47bb-9f04-a765792c607e,captainscarletandthemysterons
The Reluctant Traveler,2023,\N,"Documentary,Reality-TV",7.5,1848,78fd0325-ef8c-4ce4-92a9-91381be47004,thereluctanttraveler
California Dreams,1992,1997,"Comedy,Family,Music",7.0,1848,edbdcc93-d134-45b7-bf72-57291d703410,californiadreams
