primary_title,start_year,end_year,genres,average_rating,num_votes,show_id,normalized_title
The Mystery Files of Shelby Woo,1996,1999,"Crime,Drama,Family",7.2,554,da81e152-0acf-47f2-a61a-ee934183b71a,themysteryfilesofshelbywoo
Hollywood Darlings,2017,2018,Comedy,6.8,554,089aab4b-351a-486f-970e-78880c70f93b,hollywooddarlings
Skilda världar,1996,2002,Drama,4.6,554,d6d9035b-c05f-4336-88cc-89ef5eb5f4fa,skildavrldar
Opposite Sex,2000,2000,"Comedy,Drama",7.3,554,30a283f3-f15b-4385-a21e-45b82e0c31d4,oppositesex
Byakkotai,2007,\N,"Drama,History",6.2,554,7e616f31-78aa-4a56-8b58-bfed2e54cd93,byakkotai
I've Got a Secret,1952,1967,"Family,Game-Show",8.0,554,1dbe0e60-736f-40d7-8fef-5c653d619d94,ivegotasecret
Skip and Shannon: Undisputed,2016,\N,"Sport,Talk-Show",5.7,553,629aa9ed-c728-4035-b120-635cd45d27a9,skipandshannonundisputed
Gauss Electronics,2022,2022,Comedy,7.9,553,f0214f5b-e2ef-4f2a-98d0-0d1801a3740c,gausselectronics
Tumble Leaf,2013,2019,"Adventure,Animation,Family",8.7,553,124b4edc-1b21-4204-8249-14fd5b900fae,tumbleleaf
IMDb on the Scene,2015,\N,News,6.3,553,6dd7c58e-d425-48c8-8bea-b374b6ddab8c,imdbonthescene
Wild Heart,2023,\N,Drama,6.9,553,1a3b0af2-011d-439e-8d9d-2429512b4e28,wildheart
Brille,2012,\N,"Comedy,Game-Show",7.3,553,3b601bf2-6b7f-4748-89cd-22142dcad757,brille
Histeria!,1998,2000,"Adventure,Animation,Comedy",7.7,553,51e9ea50-d4bc-4a72-b920-4ba3aab0bf71,histeria
Police Call 110,1971,\N,"Crime,Drama,Mystery",6.4,553,92a32aa5-35d5-4559-823d-4029cbc685be,policecall110
Baahubali: The Lost Legends,2017,\N,"Action,Adventure,Animation",7.2,553,de14b35b-1f5a-42ae-96fc-41b2bacec4a7,baahubalithelostlegends
A Certain Scientific Accelerator,2019,2019,"Action,Animation,Comedy",6.9,552,e9faef28-5b83-4cbc-970b-1b7090a29a45,acertainscientificaccelerator
Jerma985,2011,\N,"Comedy,Crime,Horror",9.8,552,84e5b141-916c-4da2-951b-d5b01d557d18,jerma985
The Oracle,2013,2013,Drama,7.5,552,88028991-4b20-4ee3-99d2-5cc9939b259b,theoracle
Tú también lo harías,2023,2023,Thriller,6.9,552,beed8769-686c-4954-b9a9-2accf0f66dcd,ttambinloharas
Peacock,2022,\N,Comedy,6.7,552,3a222da9-7bcc-4c56-b81f-1bd9026899b6,peacock
Sakarya-Firat,2009,2013,"Action,Drama,Romance",6.8,552,79d6201c-3674-4d64-9642-82df0543066e,sakaryafirat
Up All Night,1989,1998,"Comedy,Drama,Horror",8.4,552,1a571f60-fa7f-4c8f-a086-98a8fa7e9f35,upallnight
Watcher,2019,2019,"Crime,Drama,Thriller",7.8,552,ca1507d1-cbf9-491e-8329-54b3d4353266,watcher
Konak kod Hilmije,2018,\N,"Comedy,History,War",7.4,552,a891fec0-04b4-4361-9901-89ecb74717c7,konakkodhilmije
The Single Guy,1995,1997,Comedy,6.1,552,d95580fc-1212-4614-86ce-396fd570acb4,thesingleguy
Topper,1953,1955,"Comedy,Fantasy",8.2,552,1f3e6bc4-fdf6-4249-9997-c1a82d92c32a,topper
Vampire High,2001,2002,"Drama,Fantasy",6.2,552,ed5b6361-61d0-43da-97d7-acd53c795785,vampirehigh
The Protectors,1972,1974,"Action,Adventure,Crime",6.7,552,0bb3182a-c87a-4937-ac78-2594217a8188,theprotectors
The Family Chantel,2019,\N,Reality-TV,3.6,551,525a8b75-27fb-49bd-a695-436107b349f9,thefamilychantel
The Rachel Zoe Project,2008,\N,"Documentary,Reality-TV",6.1,551,af3e0083-b190-4146-938f-38aaec835538,therachelzoeproject
Wingin' It,2010,2013,"Comedy,Family,Fantasy",6.6,551,778f297b-3e76-45f0-b0ad-747059bc13ea,winginit
Jamai 2.0,2019,2021,Drama,5.4,551,a2b53305-2996-429f-b04c-acfde3d4f681,jamai20
Super Gran,1985,1987,"Comedy,Crime,Family",6.3,551,a7abba9d-782c-4c27-b206-a062abc0d5e3,supergran
Bauhaus - A New Era,2019,2019,"Drama,History,Romance",7.4,551,cf647b7b-9608-4cd4-8873-986089cb6816,bauhausanewera
MTV Splitsvilla,2008,\N,"Reality-TV,Romance",3.9,551,dcc7e69d-6d7f-401c-8012-58cb47334f63,mtvsplitsvilla
Nissebanden i Grønland,1989,1989,Family,7.0,551,69d8addf-9976-4368-be3c-a95cf45e5a8d,nissebandenigrnland
Dick Turpin,1979,1982,"Action,Adventure,Biography",7.4,551,c35d12d6-9bce-44e7-81af-a6c0f9c63f36,dickturpin
Byron Baes,2022,2022,Reality-TV,2.9,551,6d025591-3ed9-4911-9fa3-01df9720e1c9,byronbaes
Beat Bugs,2016,2018,"Adventure,Animation,Comedy",7.6,551,ef7ff13b-ae60-43cf-afa0-7e6711277959,beatbugs
Sabrina's Secret Life,2003,2004,"Animation,Family,Fantasy",6.3,551,6d6b5730-3755-4c3a-9b28-15328dcdf1b6,sabrinassecretlife
Planet Sex with Cara Delevingne,2022,2022,"Documentary,History,Short",5.3,551,d120f804-b785-4d71-ad06-78a7ebb3ebeb,planetsexwithcaradelevingne
AEW Rampage,2021,\N,"Action,Sport",7.8,551,14016346-546f-4a93-a589-4c2ed61c1197,aewrampage
The Choe Show,2021,\N,Talk-Show,8.4,550,6495bafa-3781-4ac3-aa23-d6905505583d,thechoeshow
Kontoret,2012,2013,Comedy,5.3,550,56f97eb4-ce68-45fa-b024-4d33127f2f5e,kontoret
Ginga Densetsu Weed,2005,2006,"Action,Adventure,Animation",7.9,550,836fc940-fa95-46fd-8b29-f1ddd58bd9fc,gingadensetsuweed
The Days and Nights of Molly Dodd,1987,1991,"Comedy,Drama,Romance",8.1,550,252a7665-4d39-46ac-aa39-f9b8752c8c0c,thedaysandnightsofmollydodd
E! News,1991,\N,News,4.2,550,d4c69945-e764-4d65-9732-66b1d31e164c,enews
Clocking Off,2000,2003,Drama,7.7,550,2f693ac1-b7da-44e8-bd52-2c391f44d023,clockingoff
2900 Happiness,2007,2009,Drama,3.3,550,c06a4c5b-6149-4086-b048-369f8a4556d3,2900happiness
Chocolate News,2008,2008,Comedy,5.9,550,b5979df6-f7eb-49d9-b228-2134f6978f80,chocolatenews
Hela w opalach,2006,\N,Comedy,3.9,550,80934d3e-45b5-4191-b6d0-6ad5568f4859,helawopalach
The Honeymoon Stand-up Special,2018,\N,Comedy,6.8,550,7fac18fd-aa1d-4663-ae48-eb2a92de3af3,thehoneymoonstandupspecial
Towards the Republic,2003,\N,"Drama,History",8.8,550,866dce14-e5ce-40ba-87d0-62bf53623d1d,towardstherepublic
In the Club,2014,2016,Drama,7.4,549,e28bc181-7189-4685-bced-eea072905422,intheclub
Tofu,2015,2015,"Documentary,Short",6.6,549,1663df02-4805-41b4-8352-c11e74c07594,tofu
The Ingenuity of the Househusband,2021,\N,"Comedy,Short",6.7,549,a8c65ff8-93c3-40b8-a783-2df7248ea09c,theingenuityofthehousehusband
The Beatles,1965,1969,"Animation,Comedy,Music",7.1,549,13c68c4f-a72f-4853-b9fe-37cfa95e6654,thebeatles
Dinner: Impossible,2007,\N,Reality-TV,7.5,549,36e27bac-40e4-45d4-91db-3263560ab3a5,dinnerimpossible
Skam NL,2018,2019,"Drama,Romance",7.9,549,0f5135c2-241a-479a-a5bb-85297f66f0f1,skamnl
Jungle Run,1999,2006,"Adventure,Family,Game-Show",6.7,549,3b8e148d-d6dc-4cb9-9efd-0956578a81ff,junglerun
Scaredy Squirrel,2011,2013,"Animation,Comedy,Family",4.2,549,b28f90fe-69e9-49ba-98ca-4feeb9b55890,scaredysquirrel
