primary_title,start_year,end_year,genres,average_rating,num_votes,show_id
Bedrag,2016,2019,"Crime,Drama,Thriller",7.6,4747,3638488
Law & Order: UK,2009,2014,"Crime,Drama,Mystery",7.7,4746,1166893
Cybill,1995,1998,Comedy,6.9,4745,0111932
True Lies,2023,2023,"Action,Adventure,Comedy",5.2,4745,7380366
Run On,2020,2021,"Drama,Romance",7.4,4743,13271834
Star Trek: Prodigy,2021,2024,"Action,Adventure,Animation",7.4,4742,9795876
Avonlea,1990,1996,"Adventure,Drama,Family",8.5,4742,0098900
Chelsea Lately,2007,2014,"Comedy,Talk-Show",6.1,4736,1002838
Pucca,2006,2008,"Action,Animation,Comedy",6.7,4736,0795256
Yona of the Dawn,2014,2015,"Action,Adventure,Animation",8.0,4733,3957196
Lucky Luke,1983,1984,"Adventure,Animation,Comedy",7.2,4731,0175863
Before We Die,2017,2019,"Drama,Mystery,Thriller",7.7,4731,5598192
Pantheon,2022,2023,"Action,Animation,Drama",8.3,4728,11680642
Traveler,2007,2007,"Action,Crime,Mystery",8.1,4726,0805668
The Baker and the Beauty,2020,2020,"Comedy,Drama,Romance",7.4,4715,9164986
Him & Her,2010,2013,Comedy,7.8,4713,1493923
Swat Kats: The Radical Squadron,1993,1995,"Action,Adventure,Animation",8.4,4713,0126173
Family Secrets,2021,\N,"Crime,Drama",8.4,4712,12979628
Koffee with Karan,2004,\N,"Comedy,Talk-Show",6.4,4712,0445883
The Misfit of Demon King Academy,2020,2023,"Adventure,Animation,Comedy",7.3,4711,12432936
Crash,2018,2019,"Action,Drama,Thriller",7.5,4706,9114372
UP65,2023,\N,"Comedy,Drama",7.9,4706,27908694
Naxalbari,2020,2020,"Action,Crime,Thriller",7.1,4704,12572870
Honest Trailers,2012,\N,Comedy,8.5,4701,2610260
Devon Ke Dev... Mahadev,2011,2014,"Action,Drama,Fantasy",9.3,4692,2147999
Cold Feet,1997,2020,"Comedy,Drama,Romance",8.2,4691,0168596
The Game,2006,2015,"Comedy,Drama,Romance",6.8,4687,0772137
Reprisal,2019,2019,"Action,Crime,Drama",7.4,4687,8594028
Earth: Final Conflict,1997,2002,"Action,Drama,Mystery",6.2,4687,0123816
Notorious,2016,2016,"Drama,Thriller",6.6,4685,5519574
Don't Hug Me I'm Scared,2022,\N,"Comedy,Horror,Musical",8.7,4685,14932528
Professor T,2021,\N,"Crime,Drama,Mystery",7.1,4683,11981644
Shaitan,2023,\N,"Action,Crime,Drama",6.9,4681,27412560
American Gothic,2016,2016,"Crime,Drama,Mystery",6.7,4678,5257744
The Tailor,2023,2023,"Drama,Mystery,Thriller",6.2,4676,15473010
Mystery Road,2018,\N,"Crime,Drama,Mystery",7.5,4670,7298596
Northern Rescue,2019,2019,"Drama,Family",6.9,4668,8462412
Kamisama Kiss,2012,2016,"Animation,Comedy,Fantasy",8.1,4667,2320220
Kevin (Probably) Saves the World,2017,2018,"Comedy,Drama,Fantasy",7.7,4666,6474174
Trese,2021,2021,"Action,Adventure,Animation",7.0,4662,9310336
"Love, Chunibyo & Other Delusions",2012,2014,"Animation,Comedy,Drama",7.4,4660,2321542
Wander Over Yonder,2013,2016,"Adventure,Animation,Comedy",7.3,4657,2252938
Stath Lets Flats,2018,\N,Comedy,7.7,4652,7524382
Bless This Mess,2019,2020,Comedy,6.9,4645,9418572
Fear Itself,2008,2009,Horror,6.9,4636,1112285
Below Deck,2013,\N,Reality-TV,7.5,4635,2342499
Puncch Beat,2018,\N,Drama,6.3,4635,8351480
Escaype Live,2022,\N,"Action,Drama,Thriller",7.5,4634,15128122
The Jerry Springer Show,1991,2018,"Action,Comedy,Talk-Show",3.7,4631,0120974
Medical Police,2020,2020,Comedy,6.0,4630,9850952
The New Adventures of Winnie the Pooh,1988,1991,"Adventure,Animation,Comedy",7.6,4628,0165052
The Baby-Sitters Club,2020,2021,"Adventure,Comedy,Drama",7.5,4628,8690518
Marlon,2017,2018,Comedy,7.0,4628,5720168
The Eminence in Shadow,2022,\N,"Action,Adventure,Animation",7.8,4625,14115938
Single Drunk Female,2022,2023,"Comedy,Drama",6.9,4624,13790652
Chobits,2002,2003,"Animation,Comedy,Drama",7.3,4621,0326672
Log Horizon,2013,2021,"Action,Adventure,Animation",7.5,4620,2942218
Springfloden,2016,2018,"Crime,Drama,Mystery",7.5,4614,5194410
Geordie Shore,2011,2022,"Comedy,Drama,Reality-TV",5.2,4613,1960255
Z: The Beginning of Everything,2015,2017,"Biography,Drama,History",7.0,4610,4878612
RuPaul's Drag Race UK,2019,\N,"Game-Show,Reality-TV",8.5,4609,9780442
The Final Table,2018,2018,"Game-Show,Reality-TV",7.6,4607,7619858
The Undeclared War,2022,2022,"Drama,Thriller",6.9,4605,7939800
Btooom!,2012,2012,"Action,Animation,Drama",7.1,4605,2329220
46 Yok Olan,2016,2016,"Action,Crime,Drama",8.1,4604,5606154
Hotel Babylon,2006,2009,"Comedy,Drama",7.5,4604,0475047
Rise,2018,2018,"Drama,Music",6.8,4601,6487416
Family Feud,1999,\N,"Comedy,Game-Show",6.8,4598,0177440
The Partridge Family,1970,1974,"Comedy,Family,Music",6.5,4596,0065333
Touch Your Heart,2019,2019,"Comedy,Romance",7.6,4589,9466990
Van der Valk,2020,2023,"Crime,Drama,Thriller",6.9,4587,9128874
Unstoppable with NBK,2021,\N,"Reality-TV,Talk-Show",9.1,4587,15697242
Avrodh: The Siege Within,2020,2022,Action,7.7,4586,12392458
W/Bob and David,2015,2015,Comedy,7.3,4585,4574708
Frikjent,2015,2016,"Crime,Drama",7.4,4584,3582458
Drag Race Brasil,2023,\N,"Game-Show,Reality-TV",8.3,4582,24251630
Chicago Hope,1994,2000,"Drama,Mystery,Thriller",6.8,4581,0108724
Magi: The Labyrinth of Magic,2012,2014,"Action,Adventure,Animation",7.8,4580,2425098
Ink Master,2012,\N,"Game-Show,Reality-TV",7.4,4579,1865740
Knights of Sidonia,2014,2015,"Action,Adventure,Animation",7.7,4577,3398976
Case Histories,2011,2013,"Crime,Drama,Mystery",7.9,4576,1748888
Lodge 49,2018,2019,"Comedy,Drama,Mystery",7.6,4571,6128254
The Unicorn,2019,2021,"Comedy,Drama,Family",7.2,4571,10329028
Beware the Batman,2013,2014,"Action,Adventure,Animation",7.3,4567,2329077
Maude,1972,1978,Comedy,7.3,4564,0068103
Mickey Mouse Clubhouse,2006,2016,"Adventure,Animation,Comedy",5.8,4563,0784896
House of Mouse,2001,2003,"Animation,Comedy,Family",7.5,4561,0272388
Cult,2013,2013,"Drama,Horror,Mystery",6.1,4561,2193053
Dog the Bounty Hunter,2003,2012,"Adventure,Crime,Reality-TV",5.0,4560,0424627
I Hear Your Voice,2013,2013,"Comedy,Drama,Fantasy",8.1,4560,3141190
Accused,2023,\N,"Crime,Drama",7.0,4555,7949212
Naagin,2015,\N,"Drama,Fantasy,Mystery",3.6,4555,5323298
Cheese in the Trap,2016,2016,"Comedy,Romance",7.2,4554,4741110
Jeremiah,2002,2004,"Action,Drama,Sci-Fi",7.0,4551,0290966
Mutant X,2001,2004,"Action,Adventure,Drama",5.8,4550,0283203
Mister Ed,1961,1966,"Comedy,Family,Fantasy",6.9,4549,0054557
Mary Kills People,2017,2019,Drama,7.5,4547,6236572
Aquí no hay quien viva,2003,2006,"Comedy,Romance",8.1,4545,0381733
Extraordinary You,2019,2019,"Comedy,Fantasy,Romance",7.8,4544,10826102
The Fugitive,1963,1967,"Adventure,Crime,Drama",8.1,4538,0056757
Riley Rewind,2013,2013,"Drama,Sci-Fi",6.6,4535,2944454
Mako Mermaids,2013,2016,"Adventure,Comedy,Drama",6.7,4534,2548214
100 Humans: Life's Questions. Answered.,2020,2020,Reality-TV,5.8,4533,11823088
Comedy Bang! Bang!,2012,2016,"Comedy,Talk-Show",7.6,4532,2176287
Grenseland,2017,2017,"Crime,Drama,Thriller",6.7,4532,7468900
The Time in Between,2013,2014,"Adventure,Drama,History",8.3,4531,1864750
Bomb Girls,2012,2014,"Drama,War",7.8,4530,1955311
2 Stupid Dogs,1993,1995,"Animation,Comedy,Family",7.2,4529,0105928
El marginal,2016,2022,"Crime,Drama,Mystery",8.1,4528,5820976
Moomin,1990,1992,"Adventure,Animation,Comedy",8.4,4523,0247117
Redo of Healer,2021,2021,"Action,Adventure,Animation",6.4,4516,13370404
First Love,2022,2022,"Drama,Romance",8.4,4509,15289042
Lip Service,2010,2012,Drama,7.5,4509,1533010
The Young Offenders,2018,\N,Comedy,8.0,4506,7988304
Republic of Doyle,2010,2014,"Comedy,Crime,Drama",7.6,4503,1297754
Bear in the Big Blue House,1997,2006,"Comedy,Drama,Family",6.8,4498,0173664
Difficult People,2015,2017,Comedy,7.1,4497,4676574
Space Dandy,2014,2014,"Adventure,Animation,Comedy",8.1,4495,3158246
Uyanis: Büyük Selcuklu,2020,2022,"Drama,History,War",7.9,4494,12632132
Curon,2020,2020,"Drama,Fantasy,Horror",5.9,4491,10101518
Pair of Kings,2010,2013,"Comedy,Family,Fantasy",5.8,4488,1571313
